Channel,Watch time(Minutes),Stream time(minutes),Peak viewers,Average viewers,Followers,Followers gained,Views gained,Partnered,Mature,Language,Giveaways
xQcOW,6196161750,215250,222720,27716,3246298,1734810,93036735,TRUE,FALSE,English,FALSE
summit1g,6091677300,211845,310998,25610,5310163,1370184,89705964,TRUE,FALSE,English,FALSE
Gaules,5644590915,515280,387315,10976,1767635,1023779,102611607,TRUE,TRUE,Portuguese,TRUE
ESL_CSGO,3970318140,517740,300575,7714,3944850,703986,106546942,TRUE,FALSE,English,FALSE
Tfue,3671000070,123660,285644,29602,8938903,2068424,78998587,TRUE,FALSE,English,FALSE
Asmongold,3668799075,82260,263720,42414,1563438,554201,61715781,TRUE,FALSE,English,FALSE
NICKMERCS,3360675195,136275,115633,24181,4074287,1089824,46084211,TRUE,FALSE,English,FALSE
Fextralife,3301867485,147885,68795,18985,508816,425468,670137548,TRUE,FALSE,English,FALSE
loltyler1,2928356940,122490,89387,22381,3530767,951730,51349926,TRUE,FALSE,English,TRUE
Anomaly,2865429915,92880,125408,12377,2607076,1532689,36350662,TRUE,FALSE,English,FALSE
TimTheTatman,2834436990,108780,142067,25664,5265659,1244341,50119786,TRUE,TRUE,English,TRUE
LIRIK,2832930285,128490,89170,21739,2666382,199077,50504526,TRUE,FALSE,English,TRUE
Riot Games (riotgames),2674646715,80820,639375,20960,4487489,497678,56855694,TRUE,FALSE,English,TRUE
Rubius,2588632635,58275,240096,42948,5751354,3820532,58599449,TRUE,FALSE,Spanish,TRUE
auronplay,2410022550,40575,170115,53986,3983847,3966525,41514854,TRUE,FALSE,Spanish,TRUE
MontanaBlack88,2408460990,67740,181600,33514,2911316,1101093,37189666,TRUE,TRUE,German,TRUE
sodapoppin,2329440420,115305,107833,19659,2786162,236169,39334821,TRUE,TRUE,English,TRUE
풍월량 (hanryang1125),2186662470,181230,26999,12201,494445,92205,34405975,TRUE,FALSE,Korean,TRUE
alanzoka,2055003870,103770,89153,19560,3445134,1325075,46515698,TRUE,FALSE,Portuguese,TRUE
CohhCarnage,2029212570,175230,43615,11343,1264808,124242,38718674,TRUE,FALSE,English,TRUE
Lord_Kebun,1943299035,153720,34830,12367,434200,137215,19645967,TRUE,FALSE,English,TRUE
LCK_Korea,1916365860,47325,140557,39848,619382,255088,76225485,TRUE,FALSE,Korean,TRUE
Castro_1021,1845157080,100215,125133,17779,2411995,550678,22672980,TRUE,FALSE,English,TRUE
DrDisrespect,1839882465,73065,97540,23794,4450718,825004,43919410,TRUE,FALSE,English,TRUE
TheRealKnossi,1811696100,56010,288459,24595,1260160,1082039,25342894,TRUE,TRUE,German,TRUE
TheGrefg,1757406750,54855,538444,28887,3795667,3593081,47094362,TRUE,FALSE,Spanish,TRUE
YoDa,1690237110,135675,123796,12868,1792625,383130,38499423,TRUE,FALSE,Portuguese,TRUE
Pestily,1659741015,138300,168112,8481,616168,520342,24029726,TRUE,FALSE,English,TRUE
한동숙 (handongsuk),1621667925,127815,44976,12869,385250,73602,30610352,TRUE,FALSE,Korean,TRUE
GamesDoneQuick,1619144100,87450,234826,6734,1724316,113469,43345080,TRUE,FALSE,English,TRUE
Solary,1546597380,486510,24470,3187,493207,143569,48799554,TRUE,FALSE,French,TRUE
Gotaga,1538511315,141675,81644,10750,2401580,632118,39591707,TRUE,FALSE,French,TRUE
MOONMOON,1527882945,124680,24892,11220,923448,95776,13505898,TRUE,TRUE,English,TRUE
DrLupo,1517612010,172350,90696,8311,4115083,567795,47295386,TRUE,FALSE,English,TRUE
OgamingLoL,1483207890,496950,204491,3020,523758,115965,71583995,TRUE,FALSE,French,TRUE
Myth,1479214575,134760,122552,9396,6726893,1421811,37384058,TRUE,FALSE,English,TRUE
Evelone192,1474742220,83010,106900,16422,1075101,826433,47400543,TRUE,FALSE,Russian,TRUE
nl_Kripp,1470897720,155895,29316,9256,1379123,96793,20034033,TRUE,FALSE,English,TRUE
LEC,1470431925,45660,305119,28830,973727,551345,25924096,TRUE,FALSE,English,TRUE
dota2mc_ru,1464683175,66675,182869,19495,428284,156721,38774178,TRUE,FALSE,Russian,TRUE
Fresh,1464179820,147660,57431,9728,3135667,1875187,25341820,TRUE,FALSE,English,TRUE
LCS,1461310140,31125,214124,46459,1162746,526244,28313058,TRUE,FALSE,English,TRUE
ROSHTEIN,1435735725,118995,45843,11717,381918,242369,17836875,FALSE,TRUE,English,TRUE
ibai,1412913285,57795,173238,22837,1894953,1602088,44178173,TRUE,FALSE,Spanish,TRUE
TFBlade,1394312895,141285,35833,9117,1008040,450146,35978104,TRUE,FALSE,English,TRUE
Sardoche,1361024835,164235,144066,8066,746865,370358,32261961,TRUE,TRUE,French,TRUE
LCK,1351758525,37140,171861,36030,934688,307853,28970100,TRUE,FALSE,English,TRUE
Yassuo,1347412425,103905,70587,10531,1878416,689957,32362117,TRUE,FALSE,English,TRUE
HasanAbi,1339344945,193560,44649,6543,470123,340810,14154952,TRUE,FALSE,English,TRUE
BeyondTheSummit,1339097490,505080,116547,2635,923689,114948,42403593,TRUE,FALSE,English,TRUE
